x,y
0,4
0.1,4.14286
0.2,4.28079
0.3,4.41427
0.4,4.54373
0.5,4.66949
0.6,4.79186
0.7,4.91111
0.8,5.02747
0.9,5.14113
1,5.25228
1.1,5.36107
1.2,5.46766
1.3,5.57217
1.4,5.67472
1.5,5.77542
1.6,5.87436
1.7,5.97164
1.8,6.06733
1.9,6.16151
2,6.25425
2.1,6.34562
2.2,6.43567
2.3,6.52446
2.4,6.61204
2.5,6.69846
2.6,6.78377
2.7,6.868
2.8,6.95121
2.9,7.03341
3,7.11466
3.1,7.19497
3.2,7.27439
3.3,7.35295
3.4,7.43066
3.5,7.50756
3.6,7.58368
3.7,7.65903
3.8,7.73364
3.9,7.80752
4,7.88071
4.1,7.95322
4.2,8.02507
4.3,8.09628
4.4,8.16686
4.5,8.23683
4.6,8.3062
4.7,8.375
4.8,8.44323
4.9,8.51091
5,8.57805
5.1,8.64466
5.2,8.71076
5.3,8.77636
5.4,8.84147
5.5,8.9061
5.6,8.97027
5.7,9.03397
5.8,9.09722
5.9,9.16003
6,9.22242
6.1,9.28438
6.2,9.34593
6.3,9.40707
6.4,9.46781
6.5,9.52817
6.6,9.58814
6.7,9.64774
6.8,9.70697
6.9,9.76583
7,9.82435
7.1,9.88251
7.2,9.94033
7.3,9.99782
7.4,10.055
7.5,10.1118
7.6,10.1683
7.7,10.2245
7.8,10.2804
7.9,10.336
8,10.3913
8.1,10.4463
8.2,10.501
8.3,10.5554
8.4,10.6095
8.5,10.6634
8.6,10.717
8.7,10.7703
8.8,10.8233
8.9,10.8761
9,10.9287
9.1,10.981
9.2,11.033
9.3,11.0848
9.4,11.1363
9.5,11.1877
9.6,11.2387
9.7,11.2896
9.8,11.3402
9.9,11.3906
10,11.4408
10.1,11.4907
10.2,11.5404
10.3,11.5899
10.4,11.6392
10.5,11.6883
10.6,11.7372
10.7,11.7859
10.8,11.8344
10.9,11.8827
11,11.9308
11.1,11.9787
11.2,12.0264
11.3,12.0739
11.4,12.1212
11.5,12.1684
11.6,12.2153
11.7,12.2621
11.8,12.3087
11.9,12.3551
12,12.4014
12.1,12.4475
12.2,12.4934
12.3,12.5391
12.4,12.5847
12.5,12.6301
12.6,12.6753
12.7,12.7204
12.8,12.7653
12.9,12.8101
13,12.8547
13.1,12.8991
13.2,12.9434
13.3,12.9876
13.4,13.0316
13.5,13.0754
13.6,13.1191
13.7,13.1627
13.8,13.2061
13.9,13.2494
14,13.2925
14.1,13.3355
14.2,13.3784
14.3,13.4211
14.4,13.4636
14.5,13.5061
14.6,13.5484
14.7,13.5906
14.8,13.6326
14.9,13.6745
15,13.7163
15.1,13.758
15.2,13.7995
15.3,13.8409
15.4,13.8822
15.5,13.9234
15.6,13.9644
15.7,14.0053
15.8,14.0461
15.9,14.0868
16,14.1274
16.1,14.1678
16.2,14.2082
16.3,14.2484
16.4,14.2885
16.5,14.3285
16.6,14.3684
16.7,14.4081
16.8,14.4478
16.9,14.4873
17,14.5268
17.1,14.5661
17.2,14.6054
17.3,14.6445
17.4,14.6835
17.5,14.7224
17.6,14.7612
17.7,14.7999
17.8,14.8385
17.9,14.8771
18,14.9155
18.1,14.9538
18.2,14.992
18.3,15.0301
18.4,15.0681
18.5,15.106
18.6,15.1439
18.7,15.1816
18.8,15.2192
18.9,15.2568
19,15.2942
19.1,15.3316
19.2,15.3689
19.3,15.4061
19.4,15.4432
19.5,15.4802
19.6,15.5171
19.7,15.5539
19.8,15.5906
19.9,15.6273
20,15.6639
20.1,15.7003
20.2,15.7367
20.3,15.773
20.4,15.8093
20.5,15.8454
20.6,15.8815
20.7,15.9175
20.8,15.9534
20.9,15.9892
21,16.0249
21.1,16.0606
21.2,16.0962
21.3,16.1317
21.4,16.1671
21.5,16.2024
21.6,16.2377
21.7,16.2729
21.8,16.308
21.9,16.343
22,16.378
22.1,16.4129
22.2,16.4477
22.3,16.4825
22.4,16.5171
22.5,16.5517
22.6,16.5862
22.7,16.6207
22.8,16.6551
22.9,16.6894
23,16.7236
23.1,16.7578
23.2,16.7919
23.3,16.8259
23.4,16.8599
23.5,16.8938
23.6,16.9276
23.7,16.9614
23.8,16.995
23.9,17.0287
24,17.0622
24.1,17.0957
24.2,17.1291
24.3,17.1625
24.4,17.1958
24.5,17.229
24.6,17.2622
24.7,17.2953
24.8,17.3283
24.9,17.3613
25,17.3942
25.1,17.4271
25.2,17.4599
25.3,17.4926
25.4,17.5253
25.5,17.5579
25.6,17.5904
25.7,17.6229
25.8,17.6553
25.9,17.6877
26,17.72
26.1,17.7522
26.2,17.7844
26.3,17.8166
26.4,17.8486
26.5,17.8807
26.6,17.9126
26.7,17.9445
26.8,17.9764
26.9,18.0081
27,18.0399
27.1,18.0716
27.2,18.1032
27.3,18.1347
27.4,18.1662
27.5,18.1977
27.6,18.2291
27.7,18.2605
27.8,18.2917
27.9,18.323
28,18.3542
28.1,18.3853
28.2,18.4164
28.3,18.4474
28.4,18.4784
28.5,18.5093
28.6,18.5402
28.7,18.571
28.8,18.6018
28.9,18.6325
29,18.6632
29.1,18.6938
29.2,18.7243
29.3,18.7549
29.4,18.7853
29.5,18.8158
29.6,18.8461
29.7,18.8764
29.8,18.9067
29.9,18.9369
30,18.9671
30.1,18.9972
30.2,19.0273
30.3,19.0574
30.4,19.0873
30.5,19.1173
30.6,19.1472
30.7,19.177
30.8,19.2068
30.9,19.2366
31,19.2663
31.1,19.2959
31.2,19.3255
31.3,19.3551
31.4,19.3846
31.5,19.4141
31.6,19.4435
31.7,19.4729
31.8,19.5023
31.9,19.5316
32,19.5608
32.1,19.59
32.2,19.6192
32.3,19.6483
32.4,19.6774
32.5,19.7065
32.6,19.7355
32.7,19.7644
32.8,19.7933
32.9,19.8222
33,19.851
33.1,19.8798
33.2,19.9086
33.3,19.9373
33.4,19.9659
33.5,19.9945
33.6,20.0231
33.7,20.0517
33.8,20.0802
33.9,20.1086
34,20.137
34.1,20.1654
34.2,20.1937
34.3,20.222
34.4,20.2503
34.5,20.2785
34.6,20.3067
34.7,20.3348
34.8,20.3629
34.9,20.391
35,20.419
35.1,20.447
35.2,20.475
35.3,20.5029
35.4,20.5307
35.5,20.5586
35.6,20.5864
35.7,20.6141
35.8,20.6418
35.9,20.6695
36,20.6972
36.1,20.7248
36.2,20.7524
36.3,20.7799
36.4,20.8074
36.5,20.8348
36.6,20.8623
36.7,20.8897
36.8,20.917
36.9,20.9443
37,20.9716
37.1,20.9989
37.2,21.0261
37.3,21.0533
37.4,21.0804
37.5,21.1075
37.6,21.1346
37.7,21.1616
37.8,21.1886
37.9,21.2156
38,21.2425
38.1,21.2694
38.2,21.2963
38.3,21.3231
38.4,21.3499
38.5,21.3767
38.6,21.4034
38.7,21.4301
38.8,21.4568
38.9,21.4834
39,21.51
39.1,21.5366
39.2,21.5631
39.3,21.5896
39.4,21.6161
39.5,21.6425
39.6,21.6689
39.7,21.6953
39.8,21.7216
39.9,21.7479
40,21.7742
40.1,21.8005
40.2,21.8267
40.3,21.8528
40.4,21.879
40.5,21.9051
40.6,21.9312
40.7,21.9573
40.8,21.9833
40.9,22.0093
41,22.0352
41.1,22.0612
41.2,22.0871
41.3,22.1129
41.4,22.1388
41.5,22.1646
41.6,22.1904
41.7,22.2161
41.8,22.2418
41.9,22.2675
42,22.2932
42.1,22.3188
42.2,22.3444
42.3,22.37
42.4,22.3956
42.5,22.4211
42.6,22.4466
42.7,22.472
42.8,22.4974
42.9,22.5228
43,22.5482
43.1,22.5736
43.2,22.5989
43.3,22.6242
43.4,22.6494
43.5,22.6746
43.6,22.6998
43.7,22.725
43.8,22.7502
43.9,22.7753
44,22.8004
44.1,22.8254
44.2,22.8505
44.3,22.8755
44.4,22.9005
44.5,22.9254
44.6,22.9503
44.7,22.9752
44.8,23.0001
44.9,23.0249
45,23.0498
45.1,23.0746
45.2,23.0993
45.3,23.1241
45.4,23.1488
45.5,23.1735
45.6,23.1981
45.7,23.2227
45.8,23.2473
45.9,23.2719
46,23.2965
46.1,23.321
46.2,23.3455
46.3,23.37
46.4,23.3944
46.5,23.4189
46.6,23.4433
46.7,23.4676
46.8,23.492
46.9,23.5163
47,23.5406
47.1,23.5649
47.2,23.5891
47.3,23.6134
47.4,23.6376
47.5,23.6617
47.6,23.6859
47.7,23.71
47.8,23.7341
47.9,23.7582
48,23.7822
48.1,23.8063
48.2,23.8303
48.3,23.8543
48.4,23.8782
48.5,23.9021
48.6,23.926
48.7,23.9499
48.8,23.9738
48.9,23.9976
49,24.0214
49.1,24.0452
49.2,24.069
49.3,24.0927
49.4,24.1164
49.5,24.1401
49.6,24.1638
49.7,24.1875
49.8,24.2111
49.9,24.2347
50,24.2583
50.1,24.2818
50.2,24.3054
50.3,24.3289
50.4,24.3524
50.5,24.3758
50.6,24.3993
50.7,24.4227
50.8,24.4461
50.9,24.4695
51,24.4928
51.1,24.5161
51.2,24.5394
51.3,24.5627
51.4,24.586
51.5,24.6092
51.6,24.6325
51.7,24.6557
51.8,24.6788
51.9,24.702
52,24.7251
52.1,24.7482
52.2,24.7713
52.3,24.7944
52.4,24.8174
52.5,24.8405
52.6,24.8635
52.7,24.8864
52.8,24.9094
52.9,24.9324
53,24.9553
53.1,24.9782
53.2,25.001
53.3,25.0239
53.4,25.0467
53.5,25.0696
53.6,25.0923
53.7,25.1151
53.8,25.1379
53.9,25.1606
54,25.1833
54.1,25.206
54.2,25.2287
54.3,25.2513
54.4,25.274
54.5,25.2966
54.6,25.3192
54.7,25.3417
54.8,25.3643
54.9,25.3868
55,25.4093
55.1,25.4318
55.2,25.4543
55.3,25.4767
55.4,25.4991
55.5,25.5216
55.6,25.5439
55.7,25.5663
55.8,25.5887
55.9,25.611
56,25.6333
56.1,25.6556
56.2,25.6779
56.3,25.7001
56.4,25.7224
56.5,25.7446
56.6,25.7668
56.7,25.789
56.8,25.8111
56.9,25.8332
57,25.8554
57.1,25.8775
57.2,25.8996
57.3,25.9216
57.4,25.9437
57.5,25.9657
57.6,25.9877
57.7,26.0097
57.8,26.0316
57.9,26.0536
58,26.0755
58.1,26.0974
58.2,26.1193
58.3,26.1412
58.4,26.1631
58.5,26.1849
58.6,26.2067
58.7,26.2285
58.8,26.2503
58.9,26.2721
59,26.2939
59.1,26.3156
59.2,26.3373
59.3,26.359
59.4,26.3807
59.5,26.4023
59.6,26.424
59.7,26.4456
59.8,26.4672
59.9,26.4888
60,26.5104
60.1,26.5319
60.2,26.5535
60.3,26.575
60.4,26.5965
60.5,26.618
60.6,26.6394
60.7,26.6609
60.8,26.6823
60.9,26.7037
61,26.7251
61.1,26.7465
61.2,26.7679
61.3,26.7892
61.4,26.8106
61.5,26.8319
61.6,26.8532
61.7,26.8745
61.8,26.8957
61.9,26.917
62,26.9382
62.1,26.9594
62.2,26.9806
62.3,27.0018
62.4,27.0229
62.5,27.0441
62.6,27.0652
62.7,27.0863
62.8,27.1074
62.9,27.1285
63,27.1496
63.1,27.1706
63.2,27.1917
63.3,27.2127
63.4,27.2337
63.5,27.2546
63.6,27.2756
63.7,27.2966
63.8,27.3175
63.9,27.3384
64,27.3593
64.1,27.3802
64.2,27.4011
64.3,27.4219
64.4,27.4428
64.5,27.4636
64.6,27.4844
64.7,27.5052
64.8,27.526
64.9,27.5467
65,27.5675
65.1,27.5882
65.2,27.6089
65.3,27.6296
65.4,27.6503
65.5,27.671
65.6,27.6916
65.7,27.7122
65.8,27.7329
65.9,27.7535
66,27.7741
66.1,27.7946
66.2,27.8152
66.3,27.8357
66.4,27.8563
66.5,27.8768
66.6,27.8973
66.7,27.9178
66.8,27.9382
66.9,27.9587
67,27.9791
67.1,27.9995
67.2,28.0199
67.3,28.0403
67.4,28.0607
67.5,28.0811
67.6,28.1014
67.7,28.1218
67.8,28.1421
67.9,28.1624
68,28.1827
68.1,28.203
68.2,28.2232
68.3,28.2435
68.4,28.2637
68.5,28.2839
68.6,28.3041
68.7,28.3243
68.8,28.3445
68.9,28.3646
69,28.3848
69.1,28.4049
69.2,28.425
69.3,28.4451
69.4,28.4652
69.5,28.4853
69.6,28.5054
69.7,28.5254
69.8,28.5454
69.9,28.5655
70,28.5855
70.1,28.6055
70.2,28.6254
70.3,28.6454
70.4,28.6653
70.5,28.6853
70.6,28.7052
70.7,28.7251
70.8,28.745
70.9,28.7649
71,28.7847
71.1,28.8046
71.2,28.8244
71.3,28.8443
71.4,28.8641
71.5,28.8839
71.6,28.9036
71.7,28.9234
71.8,28.9432
71.9,28.9629
72,28.9826
72.1,29.0024
72.2,29.0221
72.3,29.0418
72.4,29.0614
72.5,29.0811
72.6,29.1007
72.7,29.1204
72.8,29.14
72.9,29.1596
73,29.1792
73.1,29.1988
73.2,29.2184
73.3,29.2379
73.4,29.2575
73.5,29.277
73.6,29.2965
73.7,29.316
73.8,29.3355
73.9,29.355
74,29.3745
74.1,29.3939
74.2,29.4134
74.3,29.4328
74.4,29.4522
74.5,29.4716
74.6,29.491
74.7,29.5104
74.8,29.5297
74.9,29.5491
75,29.5684
75.1,29.5877
75.2,29.6071
75.3,29.6264
75.4,29.6456
75.5,29.6649
75.6,29.6842
75.7,29.7034
75.8,29.7227
75.9,29.7419
76,29.7611
76.1,29.7803
76.2,29.7995
76.3,29.8187
76.4,29.8378
76.5,29.857
76.6,29.8761
76.7,29.8952
76.8,29.9144
76.9,29.9335
77,29.9526
77.1,29.9716
77.2,29.9907
77.3,30.0098
77.4,30.0288
77.5,30.0478
77.6,30.0668
77.7,30.0858
77.8,30.1048
77.9,30.1238
78,30.1428
78.1,30.1617
78.2,30.1807
78.3,30.1996
78.4,30.2185
78.5,30.2375
78.6,30.2564
78.7,30.2752
78.8,30.2941
78.9,30.313
79,30.3318
79.1,30.3507
79.2,30.3695
79.3,30.3883
79.4,30.4071
79.5,30.4259
79.6,30.4447
79.7,30.4635
79.8,30.4822
79.9,30.501
80,30.5197
80.1,30.5384
80.2,30.5571
80.3,30.5758
80.4,30.5945
80.5,30.6132
80.6,30.6319
80.7,30.6505
80.8,30.6692
80.9,30.6878
81,30.7064
81.1,30.725
81.2,30.7436
81.3,30.7622
81.4,30.7808
81.5,30.7994
81.6,30.8179
81.7,30.8364
81.8,30.855
81.9,30.8735
82,30.892
82.1,30.9105
82.2,30.929
82.3,30.9475
82.4,30.9659
82.5,30.9844
82.6,31.0028
82.7,31.0213
82.8,31.0397
82.9,31.0581
83,31.0765
83.1,31.0949
83.2,31.1133
83.3,31.1316
83.4,31.15
83.5,31.1683
83.6,31.1867
83.7,31.205
83.8,31.2233
83.9,31.2416
84,31.2599
84.1,31.2782
84.2,31.2964
84.3,31.3147
84.4,31.3329
84.5,31.3512
84.6,31.3694
84.7,31.3876
84.8,31.4058
84.9,31.424
85,31.4422
85.1,31.4604
85.2,31.4785
85.3,31.4967
85.4,31.5148
85.5,31.533
85.6,31.5511
85.7,31.5692
85.8,31.5873
85.9,31.6054
86,31.6235
86.1,31.6415
86.2,31.6596
86.3,31.6776
86.4,31.6957
86.5,31.7137
86.6,31.7317
86.7,31.7497
86.8,31.7677
86.9,31.7857
87,31.8037
87.1,31.8217
87.2,31.8396
87.3,31.8576
87.4,31.8755
87.5,31.8934
87.6,31.9114
87.7,31.9293
87.8,31.9472
87.9,31.965
88,31.9829
88.1,32.0008
88.2,32.0186
88.3,32.0365
88.4,32.0543
88.5,32.0722
88.6,32.09
88.7,32.1078
88.8,32.1256
88.9,32.1434
89,32.1611
89.1,32.1789
89.2,32.1967
89.3,32.2144
89.4,32.2322
89.5,32.2499
89.6,32.2676
89.7,32.2853
89.8,32.303
89.9,32.3207
90,32.3384
90.1,32.356
90.2,32.3737
90.3,32.3914
90.4,32.409
90.5,32.4266
90.6,32.4443
90.7,32.4619
90.8,32.4795
90.9,32.4971
91,32.5147
91.1,32.5322
91.2,32.5498
91.3,32.5673
91.4,32.5849
91.5,32.6024
91.6,32.62
91.7,32.6375
91.8,32.655
91.9,32.6725
92,32.69
92.1,32.7074
92.2,32.7249
92.3,32.7424
92.4,32.7598
92.5,32.7773
92.6,32.7947
92.7,32.8121
92.8,32.8296
92.9,32.847
93,32.8644
93.1,32.8817
93.2,32.8991
93.3,32.9165
93.4,32.9338
93.5,32.9512
93.6,32.9685
93.7,32.9859
93.8,33.0032
93.9,33.0205
94,33.0378
94.1,33.0551
94.2,33.0724
94.3,33.0897
94.4,33.1069
94.5,33.1242
94.6,33.1415
94.7,33.1587
94.8,33.1759
94.9,33.1932
95,33.2104
