x,y
0,4
0.1,4.14056
0.2,4.2761
0.3,4.4071
0.4,4.53397
0.5,4.65705
0.6,4.77663
0.7,4.89298
0.8,5.00632
0.9,5.11686
1,5.22477
1.1,5.33022
1.2,5.43334
1.3,5.53426
1.4,5.63311
1.5,5.72999
1.6,5.825
1.7,5.91822
1.8,6.00973
1.9,6.09962
2,6.18796
2.1,6.2748
2.2,6.3602
2.3,6.44423
2.4,6.52693
2.5,6.60836
2.6,6.68855
2.7,6.76755
2.8,6.8454
2.9,6.92214
3,6.9978
3.1,7.07242
3.2,7.14602
3.3,7.21864
3.4,7.29031
3.5,7.36105
3.6,7.43089
3.7,7.49985
3.8,7.56795
3.9,7.63522
4,7.70168
4.1,7.76735
4.2,7.83224
4.3,7.89638
4.4,7.95978
4.5,8.02246
4.6,8.08444
4.7,8.14572
4.8,8.20633
4.9,8.26628
5,8.32558
5.1,8.38425
5.2,8.4423
5.3,8.49974
5.4,8.55658
5.5,8.61283
5.6,8.66851
5.7,8.72363
5.8,8.77819
5.9,8.83221
6,8.88569
6.1,8.93865
6.2,8.99109
6.3,9.04302
6.4,9.09445
6.5,9.14539
6.6,9.19585
6.7,9.24583
6.8,9.29534
6.9,9.34439
7,9.39299
7.1,9.44114
7.2,9.48885
7.3,9.53612
7.4,9.58297
7.5,9.62939
7.6,9.6754
7.7,9.721
7.8,9.7662
7.9,9.81099
8,9.8554
8.1,9.89941
8.2,9.94305
8.3,9.9863
8.4,10.0292
8.5,10.0717
8.6,10.1138
8.7,10.1556
8.8,10.1971
8.9,10.2382
9,10.2789
9.1,10.3193
9.2,10.3594
9.3,10.3991
9.4,10.4385
9.5,10.4776
9.6,10.5163
9.7,10.5548
9.8,10.5929
9.9,10.6307
10,10.6682
10.1,10.7054
10.2,10.7423
10.3,10.7789
10.4,10.8152
10.5,10.8512
10.6,10.887
10.7,10.9224
10.8,10.9576
10.9,10.9924
11,11.0271
11.1,11.0614
11.2,11.0955
11.3,11.1293
11.4,11.1628
11.5,11.1961
11.6,11.2291
11.7,11.2618
11.8,11.2943
11.9,11.3266
12,11.3586
12.1,11.3904
12.2,11.4219
12.3,11.4531
12.4,11.4842
12.5,11.515
12.6,11.5455
12.7,11.5759
12.8,11.606
12.9,11.6358
13,11.6655
13.1,11.6949
13.2,11.7241
13.3,11.7531
13.4,11.7818
13.5,11.8104
13.6,11.8387
13.7,11.8668
13.8,11.8947
13.9,11.9224
14,11.9499
14.1,11.9772
14.2,12.0043
14.3,12.0311
14.4,12.0578
14.5,12.0843
14.6,12.1106
14.7,12.1367
14.8,12.1626
14.9,12.1883
15,12.2138
15.1,12.2392
15.2,12.2643
15.3,12.2893
15.4,12.3141
15.5,12.3387
15.6,12.3631
15.7,12.3873
15.8,12.4114
15.9,12.4353
16,12.459
16.1,12.4826
16.2,12.5059
16.3,12.5291
16.4,12.5522
16.5,12.575
16.6,12.5977
16.7,12.6203
16.8,12.6427
16.9,12.6649
17,12.6869
17.1,12.7088
17.2,12.7306
17.3,12.7522
17.4,12.7736
17.5,12.7949
17.6,12.816
17.7,12.837
17.8,12.8578
17.9,12.8784
18,12.899
18.1,12.9193
18.2,12.9396
18.3,12.9597
18.4,12.9796
18.5,12.9994
18.6,13.0191
18.7,13.0386
18.8,13.058
18.9,13.0772
19,13.0963
19.1,13.1153
19.2,13.1341
19.3,13.1528
19.4,13.1714
19.5,13.1898
19.6,13.2082
19.7,13.2263
19.8,13.2444
19.9,13.2623
20,13.2801
20.1,13.2978
20.2,13.3153
20.3,13.3327
20.4,13.35
20.5,13.3672
20.6,13.3843
20.7,13.4012
20.8,13.418
20.9,13.4347
21,13.4513
21.1,13.4678
21.2,13.4841
21.3,13.5004
21.4,13.5165
21.5,13.5325
21.6,13.5484
21.7,13.5642
21.8,13.5798
21.9,13.5954
22,13.6109
22.1,13.6262
22.2,13.6414
22.3,13.6566
22.4,13.6716
22.5,13.6865
22.6,13.7013
22.7,13.716
22.8,13.7307
22.9,13.7452
23,13.7596
23.1,13.7739
23.2,13.7881
23.3,13.8022
23.4,13.8162
23.5,13.8301
23.6,13.8439
23.7,13.8577
23.8,13.8713
23.9,13.8848
24,13.8982
24.1,13.9116
24.2,13.9248
24.3,13.938
24.4,13.9511
24.5,13.964
24.6,13.9769
24.7,13.9897
24.8,14.0024
24.9,14.015
25,14.0276
25.1,14.04
25.2,14.0524
25.3,14.0646
25.4,14.0768
25.5,14.0889
25.6,14.1009
25.7,14.1129
25.8,14.1247
25.9,14.1365
26,14.1482
26.1,14.1598
26.2,14.1713
26.3,14.1828
26.4,14.1941
26.5,14.2054
26.6,14.2166
26.7,14.2278
26.8,14.2388
26.9,14.2498
27,14.2607
27.1,14.2715
27.2,14.2823
27.3,14.293
27.4,14.3036
27.5,14.3141
27.6,14.3246
27.7,14.335
27.8,14.3453
27.9,14.3555
28,14.3657
28.1,14.3758
28.2,14.3858
28.3,14.3958
28.4,14.4057
28.5,14.4155
28.6,14.4253
28.7,14.435
28.8,14.4446
28.9,14.4542
29,14.4636
29.1,14.4731
29.2,14.4824
29.3,14.4917
29.4,14.501
29.5,14.5101
29.6,14.5193
29.7,14.5283
29.8,14.5373
29.9,14.5462
30,14.5551
30.1,14.5639
30.2,14.5726
30.3,14.5813
30.4,14.5899
30.5,14.5985
30.6,14.607
30.7,14.6154
30.8,14.6238
30.9,14.6321
31,14.6404
31.1,14.6486
31.2,14.6567
31.3,14.6648
31.4,14.6729
31.5,14.6809
31.6,14.6888
31.7,14.6967
31.8,14.7045
31.9,14.7123
32,14.72
32.1,14.7277
32.2,14.7353
32.3,14.7428
32.4,14.7503
32.5,14.7578
32.6,14.7652
32.7,14.7726
32.8,14.7799
32.9,14.7871
33,14.7943
33.1,14.8015
33.2,14.8086
33.3,14.8156
33.4,14.8226
33.5,14.8296
33.6,14.8365
33.7,14.8434
33.8,14.8502
33.9,14.857
34,14.8637
34.1,14.8704
34.2,14.877
34.3,14.8836
34.4,14.8901
34.5,14.8966
34.6,14.9031
34.7,14.9095
34.8,14.9159
34.9,14.9222
35,14.9284
35.1,14.9347
35.2,14.9409
35.3,14.947
35.4,14.9531
35.5,14.9592
35.6,14.9652
35.7,14.9712
35.8,14.9771
35.9,14.983
36,14.9889
36.1,14.9947
36.2,15.0005
36.3,15.0062
36.4,15.0119
36.5,15.0176
36.6,15.0232
36.7,15.0288
36.8,15.0344
36.9,15.0399
37,15.0453
37.1,15.0508
37.2,15.0562
37.3,15.0615
37.4,15.0668
37.5,15.0721
37.6,15.0774
37.7,15.0826
37.8,15.0878
37.9,15.0929
38,15.098
38.1,15.1031
38.2,15.1081
38.3,15.1131
38.4,15.1181
38.5,15.123
38.6,15.1279
38.7,15.1328
38.8,15.1376
38.9,15.1424
39,15.1472
39.1,15.1519
39.2,15.1566
39.3,15.1613
39.4,15.1659
39.5,15.1706
39.6,15.1751
39.7,15.1797
39.8,15.1842
39.9,15.1887
40,15.1931
40.1,15.1975
40.2,15.2019
40.3,15.2063
40.4,15.2106
40.5,15.2149
40.6,15.2192
40.7,15.2234
40.8,15.2277
40.9,15.2318
41,15.236
41.1,15.2401
41.2,15.2442
41.3,15.2483
41.4,15.2523
41.5,15.2563
41.6,15.2603
41.7,15.2643
41.8,15.2682
41.9,15.2721
42,15.276
42.1,15.2799
42.2,15.2837
42.3,15.2875
42.4,15.2913
42.5,15.295
42.6,15.2987
42.7,15.3024
42.8,15.3061
42.9,15.3098
43,15.3134
43.1,15.317
43.2,15.3206
43.3,15.3241
43.4,15.3276
43.5,15.3311
43.6,15.3346
43.7,15.3381
43.8,15.3415
43.9,15.3449
44,15.3483
44.1,15.3516
44.2,15.355
44.3,15.3583
44.4,15.3616
44.5,15.3648
44.6,15.3681
44.7,15.3713
44.8,15.3745
44.9,15.3777
45,15.3809
45.1,15.384
45.2,15.3871
45.3,15.3902
45.4,15.3933
45.5,15.3963
45.6,15.3994
45.7,15.4024
45.8,15.4054
45.9,15.4083
46,15.4113
46.1,15.4142
46.2,15.4171
46.3,15.42
46.4,15.4229
46.5,15.4257
46.6,15.4285
46.7,15.4314
46.8,15.4341
46.9,15.4369
47,15.4397
47.1,15.4424
47.2,15.4451
47.3,15.4478
47.4,15.4505
47.5,15.4532
47.6,15.4558
47.7,15.4584
47.8,15.461
47.9,15.4636
48,15.4662
48.1,15.4687
48.2,15.4713
48.3,15.4738
48.4,15.4763
48.5,15.4788
48.6,15.4812
48.7,15.4837
48.8,15.4861
48.9,15.4885
49,15.4909
49.1,15.4933
